page,rank,name,price,spec
1,인기 순위16,레노버 아이디어패드 320S-14IKBR i7 GEN8,878000원,인텔 / 코어i7-8세대 / 카비레이크-R / i7-8550U 1.8GHz(4GHz) / 쿼드 코어 / 35.56cm(14인치) / 1920x1080 / 눈부심방지 / 광시야각 / 슬림형 베젤 / 8GB / DDR4 / SSD / 256GB / UHD 620 / 시스템메모리공유 / 802.11 n/ac 무선랜 / 블루투스 4.1 / HDMI / 웹캠 / USB 2.0 / USB 3.0 / USB Type-C / 멀티 리더기 / 블록 키보드 / 52.5Wh / 운영체제 미포함 / 19.3mm / 1.54Kg / 색상: 화이트 그레이
1,인기 순위17,LG전자 2018 그램 15Z980-HA76K,1852000원 / 2121000원 / 2118000원 / 2205000원 / 2443000원 / 2682000원,인텔 / 코어i7-8세대 / 카비레이크-R / i7-8550U 1.8GHz(4GHz) / 쿼드 코어 / 39.62cm(15.6인치) / 1920x1080 / 광시야각(IPS) / 슬림형 베젤 / 터치스크린 / 16GB / DDR4 / M.2 / 512GB / UHD 620 / 시스템메모리공유 / 1Gbps 유선랜 / 802.11 n/ac 무선랜 / 블루투스 있음 / HDMI / 웹캠 / USB 3.0 / USB Type-C / 썬더볼트 / 멀티 리더기 / 블록 키보드 / 키보드 라이트 / 지문 인식 / 72Wh / 윈도우10 / 16.8mm / 1.09Kg / 색상 : 화이트
1,인기 순위18,주연테크 리오나인 L7S-16H,1194870원,인텔 / 코어i7-7세대 / 카비레이크 / i7-7700HQ 2.8GHz(3.8GHz) / 쿼드 코어 / 39.62cm(15.6인치) / 1920x1080 / 광시야각 / 8GB / DDR4 / 1TB / HD 630 / 지포스 GTX1060 / 6GB GDDR5 / 논옵티머스 / 1Gbps 유선랜 / 802.11 n/ac 무선랜 / 블루투스 4.2 / HDMI 2.0 / mini DP / 웹캠 / USB 3.0 / USB 3.1 Type-C / 멀티 리더기 / 숫자 키패드 / 블록 키보드 / 키보드 라이트 / 트리플모니터 / 60Wh / 운영체제 미포함 / 27.3mm / 2.6Kg
1,인기 순위19,APPLE 맥북프로 MJLQ2KH/A,1907000원,인텔 / 코어i7-4세대 / 하스웰 / i7-4770HQ 2.2GHz(3.4GHz) / 쿼드 코어 / 39.11cm(15.4인치) / 2880x1800 / 광시야각 / 베젤없음 / 16GB / DDR3L / SSD / 256GB / Iris Pro / 시스템메모리공유 / 802.11 n/ac 무선랜 / 블루투스 4.0 / HDMI / 웹캠 / USB 2.0 / USB 3.0 / 썬더볼트 / 멀티 리더기 / 블록 키보드 / 키보드 라이트 / Mac OS X Yosemite / 1.8mm / 2.04Kg / / 색상: 실버 / 15년형 하스웰 레티나 맥북프로
1,인기 순위20,ACER 아스파이어 E5-576 CHANGER,492000원,인텔 / 코어i5-8세대 / 카비레이크-R / i5-8250U 1.6GHz(3.4GHz) / 쿼드 코어 / 39.62cm(15.6인치) / 1920x1080 / 4GB / DDR3L / M.2 / 128GB / UHD 620 / 시스템메모리공유 / 1Gbps 유선랜 / 802.11 n/ac 무선랜 / 블루투스 4.0 / HDMI / D-SUB / 웹캠 / USB 2.0 / USB 3.0 / USB Type-C / 멀티 리더기 / 숫자 키패드 / 블록 키보드 / 리눅스 / 30.2mm / 1.9Kg / 색상: 블랙 화이트 레드
1,인기 순위21,MSI GL62M 7REX-i7,980000원 / 1115000원,인텔 / 코어i7-7세대 / 카비레이크 / i7-7700HQ 2.8GHz(3.8GHz) / 쿼드 코어 / 39.62cm(15.6인치) / 1920x1080 / 눈부심방지 / 광시야각 / 8GB / DDR4 / 1TB / HD 630 / 지포스 GTX1050 Ti / 4GB GDDR5 / 듀얼 그래픽 / 1Gbps 유선랜 / 802.11 n/ac 무선랜 / 블루투스 4.2 / HDMI / mini DP / 웹캠 / USB 2.0 / USB 3.0 / USB Type-C / 멀티 리더기 / 숫자 키패드 / 블록 키보드 / 키보드 라이트 / 41Wh / 운영체제 미포함 / 29mm / 2.2Kg
1,인기 순위22,LG전자 2017 울트라PC 15U370-LR21K,542000원,인텔 / 펜티엄 / 아폴로레이크 / N4200 (1.10GHz) / 쿼드 코어 / 39.62cm(15.6인치) / 1920x1080 / 광시야각(IPS) / 4GB / DDR3L / M.2 / 128GB / HD Graphics / 시스템메모리공유 / 유선랜 / 802.11 n/ac 무선랜 / HDMI / 웹캠 / USB 2.0 / USB 3.0 / 숫자 키패드 / 블록 키보드 / 윈도우10 / 19mm / 1.65Kg / 색상: 실버
1,인기 순위23,LG전자 2018 울트라PC GT 15UD780-PX70K,1395000원 / 1497000원,인텔 / 코어i7-8세대 / 카비레이크-R / i7-8550U 1.8GHz(4GHz) / 쿼드 코어 / 39.62cm(15.6인치) / 1920x1080 / 광시야각(IPS) / 8GB / DDR4 / M.2 / 256GB / 지포스 GTX1050 / 4GB / 1Gbps 유선랜 / 802.11 n/ac 무선랜 / HDMI / 웹캠 / USB 2.0 / USB 3.0 / USB Type-C / 멀티 리더기 / 숫자 키패드 / 블록 키보드 / 키보드 라이트 / 60Wh / 운영체제 미포함 / 19.9mm / 1.9Kg / 색상 : 블랙
1,인기 순위24,APPLE 맥북프로 2017년형 MPXW2KH/A,1985000원,인텔 / 코어i5-7세대 / 카비레이크 / i5-7267U 3.1GHz(3.5GHz) / 듀얼 코어 / 33.78cm(13.3인치) / 2560x1600 / 광시야각 / 베젤없음 / 8GB / LPDDR3 / SSD / 512GB / Iris Plus 650 / 시스템메모리공유 / 802.11 n/ac 무선랜 / 블루투스 4.2 / 웹캠 / USB 3.1 Type-C / 썬더볼트 / 블록 키보드 / 키보드 라이트 / Mac OS Sierra / 14.9mm / 1.37Kg / 색상: 그레이 / 2017년형 레티나 맥북프로 / 터치 바 장착
1,인기 순위25,MSI GL62M 7RDX-i5,776000원 / 943000원,인텔 / 코어i5-7세대 / 카비레이크 / i5-7300HQ 2.5GHz(3.5GHz) / 쿼드 코어 / 39.62cm(15.6인치) / 1920x1080 / 눈부심방지 / 광시야각 / 8GB / DDR4 / 1TB / 지포스 GTX1050 / 4GB GDDR5 / 1Gbps 유선랜 / 802.11 n/ac 무선랜 / 블루투스 4.2 / HDMI / mini DP / 웹캠 / USB 2.0 / USB 3.0 / USB Type-C / 멀티 리더기 / 숫자 키패드 / 블록 키보드 / 키보드 라이트 / 트리플모니터 / 41Wh / 운영체제 미포함 / 29mm / 2.2Kg / 색상: 블랙
1,인기 순위26,LG전자 2017 그램 14ZD970-LX16K,807000원,인텔 / 펜티엄 / 카비레이크 / 4415U (2.3GHz) / 듀얼 코어 / 35.56cm(14인치) / 1920x1080 / 슬림형 베젤 / 광시야각(IPS) / 4GB / DDR4 / M.2 / 128GB / HD 610 / 시스템메모리공유 / 1Gbps 유선랜(젠더 별도) / 802.11 n/ac 무선랜 / 블루투스 있음 / HDMI / 웹캠 / USB 3.0 / USB Type-C / 멀티 리더기 / 블록 키보드 / 키보드 라이트 / 60Wh / 운영체제 미포함 / 16.5mm / 970g / 색상: 화이트
1,인기 순위27,ASUS FX503VM-E4194,979000원,인텔 / 코어i5-7세대 / 카비레이크 / i5-7300HQ 2.5GHz(3.5GHz) / 쿼드 코어 / 39.62cm(15.6인치) / 1920x1080 / 눈부심방지 / 광시야각 / 8GB / DDR4 / 1TB / 지포스 GTX1060 / 6GB GDDR5 / 1Gbps 유선랜 / 802.11 n/ac 무선랜 / 블루투스 4.1 / HDMI 2.0 / 웹캠 / USB 3.0 / 멀티 리더기 / 숫자 키패드 / 블록 키보드 / 키보드 라이트 / 64Wh / 운영체제 미포함 / 25mm / 2.5Kg / 색상: 블랙
1,인기 순위28,APPLE 맥북프로 2017년형 MPXT2KH/A,1595000원,인텔 / 코어i5-7세대 / 카비레이크 / i5-7360U 2.3GHz(3.6GHz) / 듀얼 코어 / 33.78cm(13.3인치) / 2560x1600 / 광시야각 / 베젤없음 / 8GB / LPDDR3 / SSD / 256GB / Iris Plus 640 / 시스템메모리공유 / 802.11 n/ac 무선랜 / 블루투스 4.2 / 웹캠 / USB 3.1 Type-C / 썬더볼트 / 블록 키보드 / 키보드 라이트 / Mac OS Sierra / 14.9mm / 1.37Kg / 색상: 그레이 / 2017년형 레티나 맥북프로 / 터치 바 없음
